,equal_weighted,OMAR_simple,OMAR_exp,PAMR,PAMR_1,PAMR_2
2022-04-12,1.0123337884741295,0.9958878913334204,0.9976793436140081,1.0598260791544074,1.001974375889082,1.0000514190752567
2022-04-13,0.9970374441453086,1.0000962359860288,1.0110274721624275,1.0310080373555188,1.002325717337924,1.0000902434243184
2022-04-14,1.0010188264984377,1.0002275154488982,0.996067038333262,1.0338540490862216,1.0022784003281844,1.0000897074412307
2022-04-15,,,,,,
2022-04-18,0.997788314102083,1.0000926081632238,1.0071252525720833,1.0587019076566926,1.0028765791677856,1.0001336610371339
2022-04-19,1.0099946252517051,1.0000455962241555,0.9991758190400983,1.0386658126870374,0.9987924015892328,0.9999068426455936
2022-04-20,1.0075166568434657,0.9999894720883449,0.9955073531645221,1.0055385643984236,1.0038810140149599,1.0001359901593019
2022-04-21,0.9923718410791932,1.0001949825035745,1.0012458070416168,1.043052775275955,1.0048035679534946,1.0002445701518048
2022-04-22,0.966768660182686,1.000098718947188,1.025281764700187,1.023363853983547,1.0097252402947992,1.000453398298226
2022-04-25,0.9668243950439481,1.0000984494029987,1.009286161301352,1.0533961278769803,1.0155785079462691,1.0006590486773828
2022-04-26,1.0112112289960598,1.0000148644250573,0.9785425423356411,1.0191511823233939,1.0033563823993523,1.0001330568495364
2022-04-27,0.9967578539967716,1.0003157196739938,1.0100263559269633,1.0387875215031304,1.0095475565310903,1.0003943445131582
2022-04-28,0.9976141438295851,1.0003657588876707,1.0027145558663901,1.0207245592864924,1.0054119876896932,1.0002263520728052
2022-04-29,1.0097376910273814,1.0000719333199644,0.9842036788064163,1.0387205840309353,1.0058034503007642,1.0002219344194914
2022-05-02,0.9784155710632039,1.0001592289693244,1.031832379981413,1.011061112320809,1.0113840470139872,1.0004949689189637
2022-05-03,1.0204243297119526,0.9996582496088813,0.9977000635532952,1.0138539157173325,0.9987323430167508,0.9998970569249108
2022-05-04,0.9928523103710761,1.0054602131006625,1.0000502494931256,1.030763669838295,1.0022351025537206,1.0001151764976923
2022-05-05,0.9934940958929195,0.9999941034349503,0.9764912085402447,1.043638812057696,1.0192872136749431,1.0007642735274038
2022-05-06,0.9963732259968759,1.0001246057900333,1.0039628208472455,1.0926860827604172,1.0055100764855103,1.0002298955287052
2022-05-09,0.975617984553021,1.0000752926360061,1.0110436187956013,1.1233180663505444,1.0098613102636242,1.000434724296732
2022-05-10,0.9790323341267164,1.0001641211133672,1.0057398137771163,1.0610028355568402,1.0115023624062907,1.0005691065008377
2022-05-11,1.0194074848048045,1.000034270588715,0.9905067225873532,1.076297305602198,1.006168729854357,1.000214670628185
2022-05-12,0.9685230513633248,1.0000964222856414,1.0200534015380622,1.0878350631004507,1.0198098617921518,1.0008013808410785
2022-05-13,1.0362142346455976,0.9998419179749337,0.9771485212130346,1.0389568817783241,0.9975360818249693,0.9998721078812187
2022-05-16,1.0030321704157368,1.0000949644713824,1.0062337018960137,1.0396919195898122,1.0011442788849532,1.000019314099512
2022-05-17,1.0112190065840405,1.0001012562786917,0.9943148108411712,1.0008185088308876,1.00599050238672,1.0002306508440295
2022-05-18,0.981236728667548,1.0005369453902275,1.0008807855459583,1.063346350289578,1.0061600552987602,1.0002992119714815
2022-05-19,0.9973711208999324,1.0000426780785925,1.0111350439540436,1.0248012717248,1.0066358620103981,1.000205769477889
2022-05-20,0.9866756688194095,1.0002304487142843,0.9988317442286646,1.0437759752506852,1.0057656166901838,1.0002757280577985
2022-05-23,1.0247319045313552,0.9999275031223007,0.9853901819194021,1.0704585731998097,1.00073101251392,1.0000178615875726
2022-05-24,0.9883410772170123,1.0000564322731977,1.0094557225516034,1.0389795232128984,1.0025823977591635,1.0001378483099015
2022-05-25,1.0156899647184083,0.9999152574756941,0.9883138638414483,1.0055598516982758,1.0008802883053087,1.000001479836507
2022-05-26,1.026318714934424,0.9998184186759183,0.9866513811293023,1.1015623993412438,0.9988633790923463,0.9999449143980911
2022-05-27,1.0147577575981663,0.9998220938325396,0.9941745251569746,1.0350876395017579,1.001621977352563,1.0000233667503047
2022-05-30,,,,,,
2022-05-31,1.0011166047052131,1.0002432342391612,1.0041164309577637,1.058902578610764,1.0045802165664892,1.00017481934262
2022-06-01,0.9819490161828565,1.0001893808306639,1.0096335993953849,1.0300492195715532,1.0048530690580413,1.0002854528417215
2022-06-02,1.0188523045913487,0.9998983586936134,0.9959538462968528,1.0210683492278867,1.0005753750420103,0.9999892576434666
2022-06-03,0.9969197995439504,1.0002893868135254,1.0007850232830888,1.0779172582752692,1.0040205856633924,1.0001859962835633
2022-06-06,1.0066553450621814,1.0000723083416823,0.991228687747719,1.0184126254500994,1.004517474041166,1.000170467529301
2022-06-07,0.9978108707498076,1.000096940883399,1.0134122244336947,1.0289960158292244,1.001863523619816,1.0000723281358797
2022-06-08,1.0090043344324768,1.0000400944629246,0.99178373782127,1.0137244801577445,1.0021307897605192,1.0000803933790534
2022-06-09,0.9820598059942426,0.9999923662547502,1.0177548996738102,1.0544119205812574,1.004000661692274,1.0002375646913986
2022-06-10,0.9999999999999132,1.0,1.0,1.0,1.0,1.0
2022-06-13,0.9295249582001743,1.0001489681177005,1.0203018455183328,1.0870888719591005,1.0579750941396355,1.0022313368948446
2022-06-14,0.9927554263644335,0.9999673556443301,1.0043379559338328,1.0263703622079208,1.0034659204273941,1.0001571935184235
2022-06-15,1.0013095584346783,0.9999986840088385,1.0056077820657143,1.080080878700336,1.0045414940086144,1.0001848226636394
