,CASH,GHSEP,FTL,BCRP
495,1.0,0.7853634430413213,0.9870795154546379,1.2113460273113996
496,1.0,0.7829790951502192,0.9900762693547499,1.2150236499088998
497,1.0,0.7709487601776901,1.0052886156881704,1.2336922728610265
498,1.0,0.7653252434045202,1.0126214731798386,1.2426911707737738
499,1.0,0.7617242633845673,1.0173860222698876,1.248538235293241
500,1.0,0.7660787282001175,1.011570044165576,1.2414008549085687
501,1.0,0.7753776914019053,0.9992912113641296,1.2263322458445332
502,1.0,0.7725300787223521,1.0029611574503166,1.230836011288201
503,1.0,0.7676770241056147,1.009261786266353,1.2385681560306048
504,1.0,0.7620672279221046,1.0166369619442843,1.247618986908663
505,1.0,0.7673341821754679,1.0096105734913363,1.238996188435808
506,1.0,0.7616678091809553,1.0170660345166325,1.248145545658472
507,1.0,0.7532605605051423,1.0282923551884333,1.2619225096559226
508,1.0,0.7565362768783566,1.0238206036049236,1.2564347668441944
509,1.0,0.7388294245978514,1.047783288200539,1.2858418230485378
510,1.0,0.7470309663005567,1.03615213485547,1.271568047556048
511,1.0,0.7510760705810812,1.030541465920928,1.2646826230103965
512,1.0,0.7485398311589451,1.0340214062281023,1.2689532129683834
513,1.0,0.7645421819441252,1.0119160050564826,1.2418254188324247
514,1.0,0.7431874943940063,1.040180174939594,1.2765112666967835
515,1.0,0.7418026923930845,1.0421183716912277,1.2788898257676922
516,1.0,0.7383531452657396,1.0469644533679336,1.2848369472456096
517,1.0,0.7388314252212127,1.046286265545027,1.2840046737436832
518,1.0,0.7299530266336158,1.0588592912514152,1.2994343169501708
519,1.0,0.7336792103480291,1.053454143108258,1.2928011079453332
520,1.0,0.7400251841727673,1.0443422692495348,1.2816189974599443
521,1.0,0.7438277536778096,1.0389759869248736,1.2750334846684108
522,1.0,0.7567129337684,1.020978012751694,1.2529463334577802
523,1.0,0.7518039107408768,1.0276014023503932,1.2610745709018831
524,1.0,0.7538719865213617,1.0247746578473653,1.2576055841887326
525,1.0,0.7350074250990238,1.050418168708792,1.2890753538714346
526,1.0,0.7466211926757661,1.0338206323404715,1.2687068228385248
527,1.0,0.7425408223900617,1.039470580440233,1.2756404508570462
528,1.0,0.7546870128914197,1.0224673298320541,1.2547740264681322
529,1.0,0.7521881278226389,1.0258528768204942,1.258928776749532
530,1.0,0.7493260278930061,1.0297562798891982,1.2637190410860402
531,1.0,0.7507393111178396,1.0278140848742767,1.2613355753380986
532,1.0,0.7498218969721795,1.029070088345155,1.2628769454009268
533,1.0,0.7490226860705994,1.030166940859617,1.2642230050800476
